Tag,Timestamp,Valor,Estado
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 02:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 03:00:00",24.64,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 04:00:00",23.68,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 05:00:00",23.15,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 06:00:00",22.3,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 07:00:00",22.51,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 08:00:00",24.62,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 09:00:00",25.8,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 10:00:00",26.86,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 11:00:00",27.49,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 12:00:00",28.15,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 13:00:00",27.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 14:00:00",30.06,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 15:00:00",30.45,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 16:00:00",30.77,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 17:00:00",30.7,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 18:00:00",29.87,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 19:00:00",29.54,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 20:00:00",32.79,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 21:00:00",33.17,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 22:00:00",33.34,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 23:00:00",32.46,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 00:00:00",30.4,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 01:00:00",28.73,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 02:00:00",27.24,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 03:00:00",25.97,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-06 04:00:00",25.12,Normal
